run_date,scan_date,cash,positions_value,total_value,return_pct,open_count,gate_open,spy_price,spy_ma,vix,scan_picks_count,top_pick,open_tickers
2026-04-27,2026-04-27,10000.0,0,10000.0,0.0,0,True,715.0,665.992940979004,18.520000457763672,0,,
2026-04-28,2026-04-28,10000.0,0,10000.0,0.0,0,True,709.8499755859375,666.451166381836,18.579999923706055,0,,
2026-04-29,2026-04-29,0.0,10000.0,10000.0,-0.0,1,True,710.7951049804688,666.9165670776367,18.260000228881836,1,SBUX,SBUX
