Fetching S&P 500 constituent list from Wikipedia...
Fetching market caps for 503 tickers (20 parallel workers)...
  100/503 tickers processed...
  200/503 tickers processed...
  300/503 tickers processed...
  400/503 tickers processed...
  500/503 tickers processed...
Universe cached to /home/runner/work/technical-analysis-stock-scanner/technical-analysis-stock-scanner/data/universe_top100.csv (100 stocks).
Downloading 1-year OHLCV for 102 tickers (universe + SPY + ^VIX)...

==================================================================
  MARKET BREADTH | MIXED (61L / 39S of 100) — selective longs, tighter stops
  REGIME GATE    | OPEN — LONG entries allowed
                 | SPY 738.84 vs 200DMA 675.64 | VIX 17.2 (limit 30)
  RS FILTER      | top 40% by 3M ∩ 6M return — 33 eligible of 100
==================================================================

── LONG UNIVERSE  (61 stocks — price > SMA200) ──
Ticker   Price   SMA50  SMA200  % vs SMA200  RSI Trend
  SNDK 1494.94  986.92  449.12        232.9 67.2     ↑
  INTC  116.90   74.92   46.67        150.5 65.7     ↑
    MU  745.81  511.73  319.12        133.7 65.6     ↑
   STX  794.01  569.93  349.16        127.4 66.6     ↑
   WDC  478.35  374.75  219.22        118.2 62.8     ↑
   AMD  440.38  297.61  229.31         92.0 67.1     ↑
   GLW  187.62  161.02  108.99         72.1 55.9     ↑
  DELL  247.80  197.80  148.57         66.8 64.0     ↑
  LRCX  298.12  253.81  187.19         59.3 61.2     ↑
   VRT  325.99  301.83  206.74         57.7 49.1     ↑
  CSCO  117.45   88.90   77.01         52.5 79.0     ↑
   TXN  296.96  238.81  197.99         50.0 66.0     ↑
  AMAT  423.05  387.00  285.58         48.1 54.8     ↑
   GEV 1036.24  982.03  738.50         40.3 50.3     ↑
  CRWD  650.54  458.44  464.16         40.2 86.6     ↓
  KLAC 1835.04 1680.59 1319.95         39.0 55.4     ↑
   CAT  862.76  794.41  621.65         38.8 51.9     ↑
  PANW  251.33  182.10  187.13         34.3 81.5     ↓
 GOOGL  389.12  339.58  295.03         31.9 62.8     ↑
   ADI  383.21  363.19  292.81         30.9 44.3     ↑
  GOOG  385.39  337.36  294.89         30.7 62.6     ↑
  QCOM  207.11  154.30  158.87         30.4 62.8     ↓
   CVS   93.62   79.96   76.59         22.2 66.3     ↑
   XOM  156.38  154.71  129.12         21.1 55.0     ↑
   COP  122.14  122.92  101.69         20.1 52.1     ↑
   UNH  384.83  328.46  320.31         20.1 66.3     ↑
  AVGO  413.53  375.36  348.32         18.7 52.8     ↑
    MO   73.96   67.70   62.64         18.1 64.8     ↑
    MS  197.32  178.66  167.64         17.7 63.8     ↑
  NVDA  219.29  196.16  186.84         17.4 57.5     ↑
  AAPL  303.51  269.26  260.60         16.5 75.5     ↑
    PM  188.96  168.34  163.21         15.8 68.1     ↑
   CVX  192.09  191.78  165.86         15.8 55.0     ↑
  SBUX  104.10   98.48   89.92         15.8 54.6     ↑
    GS  971.73  891.56  842.09         15.4 60.5     ↑
  AMZN  265.09  240.72  230.32         15.1 57.8     ↑
  WELL  216.90  207.92  189.48         14.5 56.1     ↑
   PLD  144.13  137.76  126.32         14.1 57.9     ↑
     C  123.47  120.88  108.60         13.7 48.1     ↑
   BMY   58.94   58.20   51.87         13.6 57.3     ↑
   MRK  114.50  115.51  101.09         13.3 52.4     ↑
    KO   81.35   77.36   72.08         12.9 66.6     ↑
   LLY 1040.16  940.10  923.65         12.6 65.2     ↑
   UNP  265.18  254.12  236.42         12.2 52.5     ↑
    VZ   48.01   47.82   43.06         11.5 55.7     ↑
   LIN  513.21  499.38  462.42         11.0 57.6     ↑
   JNJ  229.54  233.47  209.15          9.8 50.6     ↑
  COST 1047.00 1006.41  954.55          9.7 56.1     ↑
    CB  330.88  326.37  303.28          9.1 57.5     ↑
   HON  223.59  221.82  209.31          6.8 58.1     ↑
   NEE   89.40   92.90   84.01          6.4 40.5     ↑
   WMT  120.94  126.86  114.21          5.9 35.0     ↑
   TJX  156.91  156.05  148.99          5.3 55.7     ↑
   ETN  380.51  388.38  361.91          5.1 42.5     ↑
  ANET  145.54  146.61  139.71          4.2 46.5     ↑
  AMGN  335.35  342.06  322.21          4.1 50.2     ↑
   PFE   25.81   26.47   25.02          3.1 45.6     ↑
  GILD  130.25  136.05  127.20          2.4 41.8     ↑
  TSLA  416.64  387.69  409.49          1.7 54.9     ↓
    DE  524.12  576.84  518.18          1.1 31.9     ↑
     V  331.10  312.67  329.66          0.4 61.1     ↓

── SHORT UNIVERSE  (39 stocks — price < SMA200) ──
Ticker   Price   SMA50  SMA200  % vs SMA200  RSI Trend
   ABT   87.36   96.17  116.57        -25.1 41.8     ↓
   CRM  175.17  182.13  221.99        -21.1 46.2     ↓
  BKNG  155.32  171.00  195.38        -20.5 36.7     ↓
    BX  116.12  117.28  141.31        -17.8 43.6     ↓
   DHR  171.72  183.08  206.10        -16.7 43.8     ↓
  PLTR  137.02  142.97  162.84        -15.9 47.7     ↓
    HD  309.13  326.88  363.22        -14.9 42.3     ↓
   TMO  448.49  479.88  525.99        -14.7 39.9     ↓
  SPGI  413.06  425.25  480.38        -14.0 43.7     ↓
  UBER   73.14   74.23   84.18        -13.1 44.0     ↓
   LOW  215.22  234.26  247.07        -12.9 34.6     ↓
  NFLX   89.29   93.80  102.03        -12.5 45.7     ↓
   SYK  313.67  323.77  356.74        -12.1 50.1     ↓
  ISRG  436.28  458.95  496.14        -12.1 43.8     ↓
  TMUS  189.71  198.59  212.12        -10.6 44.9     ↓
  META  601.43  618.23  669.42        -10.2 41.3     ↓
   WFC   75.00   78.61   83.21         -9.9 41.5     ↓
   IBM  241.22  236.16  266.47         -9.5 60.0     ↓
  MSFT  417.34  400.07  459.77         -9.2 53.6     ↓
   APP  486.05  447.65  533.57         -8.9 54.4     ↓
